landscape,ignitionPoint,ignitionIndex,burnedOutCells
1,86,26379,1
1,87,24695,19
1,88,4759,18
1,89,810,30
1,90,14617,4
1,91,28526,3149
1,92,32374,16
1,93,10620,1
1,94,23053,84
1,95,38825,5
1,96,17101,0
1,97,20601,2
1,98,5436,2
1,99,16650,12
13,0,492,1
13,1,21100,210
13,2,375,1
13,3,23998,1
13,4,11363,150
13,5,35710,760
13,6,34693,3154
13,7,3213,1
13,8,36856,1
13,9,12114,1
13,10,17060,1
13,11,35316,2603
13,12,28905,2838
13,13,37155,9
13,14,39162,49
13,15,28154,862
13,16,28044,57
13,17,11769,37
13,18,24860,38
13,19,16024,952
13,20,36523,3653
13,21,36478,1
13,22,19452,1
13,23,35869,17
13,24,11640,1
13,25,29937,1
13,26,24944,1
13,27,7282,2786
13,28,12270,1
13,29,2355,1
13,30,2011,1
13,31,34168,63
13,32,4423,1
13,33,37375,1
13,34,30394,3
13,35,39181,0
13,36,1108,1799
13,37,7287,30
13,38,8909,235
13,39,8878,2072
13,40,21820,1
13,41,19033,1
13,42,25951,1
13,43,950,1
13,44,27667,1
13,45,7056,1
13,46,17268,1
13,47,2053,83
13,48,6806,11
13,49,28071,2
13,50,1871,1
13,51,7100,2116
13,52,10433,642
13,53,16152,1
13,54,21085,1
13,55,14692,17
13,56,12109,68
13,57,21891,6
13,58,5185,1
13,59,24878,1099
13,60,12745,24
13,61,7802,8
13,62,25597,88
13,63,22613,1
13,64,23700,277
13,65,18553,1
13,66,11385,1
13,67,20768,1
13,68,10549,1
13,69,32499,1
13,70,5428,1
13,71,38979,1
13,72,26391,9
13,73,36679,5
13,74,6724,2893
13,75,21349,1
13,76,2276,2391
13,77,17618,1
13,78,587,1
13,79,36605,1
13,80,30268,1
13,81,16094,52
13,82,4920,85
13,83,1173,1
13,84,8850,56
13,85,2487,1
13,86,24759,3
13,87,1777,1
13,88,16803,1
13,89,19294,445
13,90,30647,1
13,91,18633,60
13,92,13204,1
13,93,30359,1
13,94,4693,2921
13,95,1457,1
13,96,27880,22
13,97,9501,4
13,98,37290,4
13,99,6233,123
16,0,19351,11
16,1,3932,132
16,2,17875,10423
16,3,3650,1
16,4,6153,1
16,5,4842,1
16,6,813,1
16,7,33070,9095
16,8,20450,802
16,9,26915,895
16,10,34971,965
16,11,16300,1
16,12,14806,2
16,13,26721,1
16,14,15981,1
16,15,5068,11
16,16,25599,9
16,17,8415,2
16,18,11908,1
16,19,7659,1
16,20,6714,3
16,21,14261,3
16,22,22532,5
16,23,16568,1
16,24,27246,8858
16,25,38190,1
16,26,23976,56
16,27,32612,1
16,28,5229,1
16,29,25799,15
16,30,29807,8334
16,31,3494,4
16,32,36658,8771
16,33,9543,1
16,34,26228,103
16,35,35560,1395
16,36,25098,3
16,37,9461,1
16,38,39259,1
16,39,32145,173
16,40,7440,15
16,41,9211,1
16,42,39,2
16,43,34543,22
16,44,12945,1
16,45,2325,1
16,46,23145,9
16,47,17665,51
16,48,10254,4
16,49,21110,3
16,50,13075,2
16,51,287,1
16,52,30623,7662
16,53,38967,1016
16,54,43,1
16,55,10055,10
16,56,23156,4
16,57,5756,5
16,58,8667,2
16,59,30853,7354
16,60,31095,7861
16,61,27686,8559
16,62,11173,1
16,63,30334,267
16,64,2253,63
16,65,15342,1
16,66,15795,1
16,67,24281,7545
16,68,7996,1
16,69,5156,1
16,70,7628,1
16,71,20937,1
16,72,17638,1
16,73,25605,13
16,74,18339,1
16,75,31995,1131
16,76,27636,7011
16,77,4146,3
16,78,8138,1
16,79,19161,1
16,80,5710,1
16,81,16083,1
16,82,8644,616
16,83,13049,6
16,84,17222,1
16,85,28359,2
16,86,5047,1
16,87,8998,11
16,88,37076,7860
16,89,9478,1
16,90,24320,13
16,91,14985,22
16,92,1660,1
16,93,2646,1
16,94,2081,1
16,95,12979,1
16,96,30604,6628
16,97,21158,1
16,98,2133,1
16,99,18377,1
14,0,17615,96
14,1,37884,1
14,2,2567,1
14,3,22401,61
14,4,25498,31
14,5,30508,1
14,6,1216,1
14,7,19973,1
14,8,16725,1
14,9,21787,1
14,10,26937,22
14,11,14281,1
14,12,14022,1
14,13,8858,21
14,14,35762,1
14,15,7336,1
14,16,21519,995
14,17,12554,1
14,18,30794,1
